"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000077571",318.954850575956,-26.2036889024383,4.78509150195738,-5.47611030880381,0.0000000434776719361008,0.000000260642905734235
"Gm22748",91.0242380994027,-24.3513567785248,4.78606411491567,-5.08797128367635,0.00000036191415417408,0.0000019317049860845
"Gm25635",91.0242380994027,-24.3513567785248,4.78606411491567,-5.08797128367635,0.00000036191415417408,0.0000019317049860845
"ENSMUSG00000103235",141.920785263043,-23.8198656568776,4.62425665568485,-5.15106911888088,0.00000025900570401059,0.00000140863960205826
"Gm14453",52.5424463825821,-23.6679784688776,4.78705963658495,-4.94415784754294,0.000000764737235210472,0.00000390218806384775
"Gm28539",51.3482710547216,-23.6234225672379,4.78711112376284,-4.93479719949952,0.000000802340844960565,0.00000408260179791073
"Gm38329",56.1368910279802,-23.2273279138512,4.11413321873181,-5.64574034892606,0.0000000164471916371429,0.000000103333604315726
"Gm4841",149.871660733082,-22.9766823413273,4.24607453418698,-5.41127626383665,0.0000000625771441724625,0.00000036812468194117
"F930017D23Rik",6231.4082537501,-17.6900002381144,1.46380933710897,-12.084907364406,0.00000000000000000000000000000000126913122648217,0.0000000000000000000000000000000259766859548052
"Slfn14",41108.3387687133,-16.6696921187297,2.89025206515199,-5.76755651166816,0.000000008042911958104,0.0000000522997145776671
"Apol11a",2218.32545009535,-16.2016460283361,1.46146063022534,-11.0859271151477,0.000000000000000000000000000146821469053622,0.00000000000000000000000000265904574186371
"Slc4a1",359263.937088994,-15.3457996365677,0.88509606776214,-17.3380045347707,0.000000000000000000000000000000000000000000000000000000000000000000243028608587718,0.00000000000000000000000000000000000000000000000000000000000000000920020802047114
"Gm14198",1149.02138768187,-15.2529396537031,1.46933953817736,-10.3808134589665,0.000000000000000000000000303180744275906,0.00000000000000000000000497313730379956
"Gm29216",201482.918124979,-15.0504352816089,1.94498032948201,-7.73809125648953,0.0000000000000100920403943565,0.000000000000103736787309432
"Alas2",67749.5516453478,-14.9477506145408,0.342843509645116,-43.5993396229478,0,0
"Ccdc92b",4337.30498123948,-14.9389494908485,1.03380997611022,-14.450382406888,0.0000000000000000000000000000000000000000000000249297892570996,0.000000000000000000000000000000000000000000000669461040247303
"Hbq1b",771.939810688695,-14.678063361462,1.46176943193596,-10.0412986075529,0.0000000000000000000000100344313993875,0.000000000000000000000155547953654582
"Nhlrc4",719.307675670566,-14.5764763486992,1.46339675868706,-9.96071384070646,0.0000000000000000000000226430999423478,0.00000000000000000000034672776821831
"Ccr3",654.811434489005,-14.4129437821935,1.82133860612505,-7.91337960647389,0.00000000000000250494072297372,0.0000000000000264979305197362
"Gm29253",641.352434779134,-14.3982547597059,3.9895749998431,-3.60896956700204,0.000307415666930595,0.00100852072557331
"Ighg2c",651.478379724871,-14.3290494502844,1.51806712559104,-9.4390091246496,0.00000000000000000000376321164114012,0.0000000000000000000531923622983626
"Apol10a",596.865672776655,-14.3041699935601,1.47311805116813,-9.71013150114986,0.000000000000000000000272984695930793,0.00000000000000000000402560118778376
"Slfn1",640.626809701591,-14.109712769117,1.4819559845216,-9.52100664020182,0.00000000000000000000171509533749868,0.0000000000000000000244966542789986
"Apol11b",24213.9497810421,-14.1070733589048,3.14311173610211,-4.48825067110069,0.00000718104031594951,0.0000319213735599452
"Gm14098",478.028514812388,-13.9830044907855,1.49164848130679,-9.37419550652805,0.0000000000000000000069705304653857,0.000000000000000000097266258729452
"Snord118",471.956967000778,-13.9672421779513,4.7849656601088,-2.91898483084071,0.00351173311874559,0.00913642374594391
"Gm867",403.178518433795,-13.7383604664892,1.48277745982434,-9.26528817622894,0.0000000000000000000194551249717862,0.000000000000000000266473294630311
"Runx1t1",1049.31636524789,-13.7206009597621,1.35676008388118,-10.1127687369108,0.00000000000000000000000484940628739263,0.0000000000000000000000760375747114277
"D630044L22Rik",361.243242418334,-13.5800393840885,1.48646539930892,-9.13579245800278,0.0000000000000000000649294736188658,0.000000000000000000868949763963119
"Btn1a1",346.90192104098,-13.5174997068855,3.28548900096785,-4.11430374684058,0.000038834979343079,0.000151649296126245
"Hbb-bs",203848.481005707,-13.2277388322315,0.422331032473926,-31.3207834971212,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000243261187459346,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000041013334636187
"9830144P21Rik",274.361355614537,-13.1802319546865,1.54550612579777,-8.52810075267931,0.0000000000000000148769946128102,0.000000000000000177849685597879
"2810030D12Rik",273.257156356739,-13.1734352843373,3.38885467674975,-3.88728244227102,0.000101372775331385,0.000366213909381372
"Ighg3",312.15878159706,-13.1571517462954,1.56087409272808,-8.42934853464027,0.0000000000000000347594864152112,0.000000000000000405461227413954
"1810053B23Rik",263.771756329935,-13.1271926899108,1.49985473329429,-8.75230940604375,0.00000000000000000209030359308264,0.0000000000000000260158485245613
"Hba-a2",1167993.58179794,-13.1113007106924,0.291283352661062,-45.0121868994989,0,0
"Gm10371",260.783601865473,-13.108079482963,1.52654811785687,-8.58674504238065,0.00000000000000000894678745268481,0.000000000000000108301822354706
"Mst1",257.380571110501,-13.0925461212524,4.78518426247053,-2.73605892753915,0.00621798901142387,0.0151849652013598
"Igkv14-126",294.039491436021,-13.085341322869,1.56556677755709,-8.35821346649128,0.0000000000000000636751518568311,0.000000000000000733857246981406
"Gm12403",254.774681921616,-13.0671082592825,1.59592778137755,-8.18778168521101,0.000000000000000266084920743978,0.00000000000000298870384192789
"Gm21985",251.931264011209,-13.0615714913481,4.78519469718406,-2.72957994771548,0.00634150705703203,0.0154512822423572
"Brinp2",248.830895539487,-13.0476554200339,1.52206329373574,-8.57234746658261,0.0000000000000000101396607864868,0.000000000000000122469728583608
"Alox15",264.106766916334,-13.0380778373411,2.06927294978333,-6.3008013702138,0.000000000296110662015537,0.00000000218726005718251
"Gm11440",236.373109736459,-12.9571324111246,3.4499470400237,-3.75574820737991,0.000172824383028136,0.000596658214068428
"Ttc39aos1",222.520452001006,-12.8821128068554,1.51090694128084,-8.52607957174039,0.0000000000000000151391142877822,0.000000000000000180851040951344
"Spata31f1a",205.851586239649,-12.7727606761094,1.52179298514341,-8.39323140585102,0.0000000000000000472959403438431,0.000000000000000548177043503338
"Ighg1",213.456383843981,-12.7451007080221,4.15672382596415,-3.0661408459259,0.00216841143492928,0.00590249677210942
"Gm15564",200.176926082207,-12.7164720478124,3.48332458600375,-3.65067099945497,0.000261556103655108,0.000870646960955757
"Synb",193.272248562972,-12.679486606251,4.78534365177887,-2.649650167034,0.00805751554088841,0.019097479587781
"Msr1",195.817114046461,-12.6683535980509,3.90986119516976,-3.2401031560152,0.00119486464417229,0.00344817652916776
"Snora31",178.768038035758,-12.5593019860755,2.69945181967995,-4.65253793178076,0.00000327874400866387,0.0000153728725681448
"Icam5",173.818349567481,-12.5255741677214,1.53257516227364,-8.17289388217615,0.000000000000000301078790403369,0.00000000000000336788135311675
"AF357399",172.852091763764,-12.5067065252495,4.38829819476716,-2.85001291392712,0.00437174540427673,0.0111055841746502
