"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSMUSG00000099250",-4.6984517353957,13.6768066029172,-63.3305836610473,0.0000000000000075048026787697,0.0000000000783890379559329,24.7704838418783
"ENSMUSG00000099021",-4.69846403707396,13.6767633825321,-63.3153374484936,0.00000000000000752366234340464,0.0000000000783890379559329,24.767888056938
"Dennd4a",-6.69317093651183,8.36737438319793,-60.5873686641715,0.0000000000000119067242932463,0.0000000000827041069408889,23.5437178614786
"Epb41",-6.67208644588792,8.76837297950324,-58.0038914649311,0.0000000000000187502040509428,0.0000000000976791880033863,23.347529145391
"Clcn3",-6.7305339578235,8.20417663221997,-53.6505960165849,0.000000000000042263479948294,0.000000000146781065860425,22.385466715719
"Specc1",-7.54414589424847,7.57396480933332,-54.9556791110668,0.0000000000000329040386946454,0.000000000137130871663804,22.2363350306428
"Herc1",-4.78584214138022,9.62430152113711,-49.861477683662,0.000000000000090606955516417,0.000000000236008467381387,22.2261841781436
"Mki67",-3.13608319513416,11.2231296534246,-47.0831011258682,0.000000000000164546868336323,0.000000000272994321335382,21.7165669554759
"Tfdp2",-6.24780117294116,8.33723460329178,-48.8898669068746,0.000000000000111202335515365,0.000000000257470474163241,21.7037786442875
"Gpcpd1",-7.13834498653115,7.62343728442968,-50.7729028263378,0.0000000000000750358960161964,0.0000000002233711430265,21.6359575583735
"Lpin2",-5.29380560923076,8.27243688716452,-47.7473235087485,0.000000000000142228538164299,0.000000000272994321335382,21.535847076219
"Wdr26",-4.71072812179965,8.74948727319775,-46.3202947182355,0.000000000000195024590264451,0.000000000290280172280759,21.3704645643069
"Slc25a37",-8.31349872463933,7.93995232324208,-46.9275627066306,0.000000000000170310307004509,0.000000000272994321335382,21.0050649368787
"Ibtk",-4.65006781777423,8.46800534032055,-43.8164176433813,0.000000000000347607696256363,0.000000000413627374654841,20.799540636082
"Xpo7",-7.95961284017153,8.76644743133351,-43.3574344366454,0.000000000000387825854376049,0.000000000413627374654841,20.6450507454639
"Hipk1",-4.67206092122834,9.06759350498206,-42.7895963019792,0.000000000000444789980986096,0.000000000421296982899466,20.6432367228337
"Hectd4",-6.58257833820329,7.81627121605757,-43.7669103092089,0.000000000000351717684418529,0.000000000413627374654841,20.6029111411689
"Malat1",-3.95415965232917,13.349209637249,-42.9964385632068,0.000000000000423043181730648,0.000000000419779705757297,20.5935565603239
