"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Gm28635",109.415088048058,-24.0525022480566,4.78506318682474,-5.02657986090614,0.000000499304605330959,0.0000171907947696474
"mt-Nd4l",387.225231214997,-13.0419166040872,4.50187556379798,-2.89699624506825,0.00376754264734675,0.0323775052310609
"H2ac23",1728.11012930595,-11.4200664118393,2.61647389233686,-4.36467814385093,0.0000127310064577374,0.000288369639348806
"Rpl7a-ps11",80.2319237729393,-11.0684092251663,1.68743180510121,-6.55932239258842,0.0000000000540528291741563,0.00000000455659777481521
"Prss50",35.6582511996816,-9.88171531294955,1.86900332545221,-5.28715769436025,0.000000124231538272277,0.0000050041442780907
"Sowaha",14334.4678706737,-8.93239417405315,1.45782104749131,-6.12722267209989,0.000000000894262808647777,0.0000000579361959909077
"Kcnq3",30.9844321347427,-8.83344904210635,2.4638821336477,-3.58517516786759,0.000336852036276738,0.00469240051215483
"5730460C07Rik",22.2292016135494,-8.83052613899609,2.67217152651047,-3.30462548956492,0.000951033895454939,0.0109101343399145
"Trpc2",14.1135209571583,-8.21897438537972,2.76457692833687,-2.97295918993441,0.00294943664182828,0.0267972704669221
"BC021767",49.7084639066017,-8.06512435227279,1.88748665627529,-4.2729437717924,0.0000192909115261358,0.000422900223992527
"Gm37873",37.5422700850579,-7.53120782458042,1.86181492348964,-4.04508940688073,0.0000523031593707012,0.00100868616550524
"Asb17",21.5063487582097,-7.5283164833017,1.9159082259122,-3.92937218050583,0.000085167933315795,0.00150414296052539
"A730036I17Rik",1019.56835007576,-7.51667025102234,1.81527813246807,-4.14078157863479,0.000034612443116385,0.000709338213941555
"Nrip3",474.83823683793,-7.4357484127177,1.47839376475074,-5.02961294210503,0.000000491470937748917,0.000016992633648934
"1700101I11Rik",10.595795438591,-7.40598821521214,2.2908710745846,-3.23282628052522,0.00122572074454216,0.0134705488582831
"Ccdc74a",12.2543077645827,-7.3462161396848,2.20884320945555,-3.32582055088263,0.000881586658671807,0.0102542448192879
"Iqcd",341.440385349841,-7.24282317427186,1.49444910823075,-4.84648365366319,0.00000125668937152415,0.0000384867003406479
"Ccdc38",13.8914374561394,-7.22754032182197,2.40494601498215,-3.00528173056543,0.00265334957019324,0.0247393836208325
"ENSMUSG00000103171",46.5363375112852,-7.18468550540356,2.4493910621825,-2.93325374470899,0.00335429628057186,0.0294450678327816
"H1f6",23.1057222845814,-7.17617732897693,2.10301992330334,-3.41232018273269,0.000644124076113832,0.00792626421427058
"C630004M23Rik",43.8409108452632,-7.13066020139386,1.79768729858759,-3.96657427962933,0.0000729130591141547,0.00132344080882673
"1110028F11Rik",12.3515559009595,-6.94037129329692,2.19510923158608,-3.16174302099862,0.00156827896468803,0.0163882646571937
"Gm12663",39.9361375862246,-6.81288075098226,1.77864106165094,-3.83038539808506,0.00012794271115369,0.00211351020020954
"Gm28857",48.1705742054892,-6.75739871986969,1.67732416513736,-4.02867785507418,0.0000560914175187793,0.00106541119872487
"Gm13169",16.0217822210519,-6.38238340741746,2.03969484964195,-3.12908737723088,0.00175350156625141,0.017900602131383
"Chrdl1",55.2120162089851,-6.24008391934567,2.25581642442663,-2.76621973835115,0.00567103075257881,0.0445242616071406
"Slc30a10",299.513384211371,-6.06136374985804,1.5701793644338,-3.86030022248047,0.000113247797700306,0.00190344756792478
"Kcnj5",119.103911877459,-6.02173473036765,1.05025187945841,-5.7336100493083,0.00000000983152245853453,0.000000508812399642005
"Gpc4",129.152098196041,-5.69783168747375,0.936793643384225,-6.08226980158616,0.00000000118492952900661,0.0000000748198359744176
"Crip2",68.5578200434615,-5.03491632700656,1.08792036606355,-4.62801918602234,0.00000369179822018253,0.0000962370730458626
"Gm11505",79.5668609880231,-4.98355881805974,1.0769852307339,-4.62732326855009,0.00000370422091371222,0.0000963097437565177
"Ap3s1-ps1",42.171512235023,-4.58001253562038,0.890505797977029,-5.14315858024151,0.000000270157394037618,0.00000997325964354674
"Pdia2",73.4243432436575,-4.55313585419716,1.20185246265851,-3.78843160509534,0.000151601314757842,0.00243369556605134
"Phf24",42.2079575810007,-4.33479842511644,1.53688775982468,-2.82050422837054,0.0047948241579429,0.0389154115528527
"Dnajb3",85.2237557109664,-4.28830837187299,1.15817954291968,-3.70262831707639,0.000213377377213253,0.00321323538392775
"Slc45a3",171.241864701463,-4.20514268478038,0.652362726012895,-6.44601924221105,0.000000000114826089982415,0.00000000907181582402135
"Gm6644",21.0828944406957,-4.00151664596773,1.38987662673271,-2.87904449143403,0.00398882056845985,0.0338346325604732
"Gm7399",87.0925484567797,-3.80903072748784,1.21857678026165,-3.12580281290932,0.00177320406521552,0.0180566496155259
"Hadhb-ps",81.0943393003948,-3.67848114696143,0.776300713451887,-4.73847451537787,0.00000215333103422647,0.0000608477871144257
"Spon2",52.393107787721,-3.51683280247611,1.09815352267117,-3.20249649058329,0.00136241960225902,0.0146489218772807
"Alas2",67749.5516453478,-3.44172450557502,1.07340597218068,-3.20635863296248,0.00134426337253386,0.0144822682440176
"Ly86",695.019536297452,-3.4158060009192,0.546429029089332,-6.2511430013371,0.000000000407459577772994,0.000000029355039360791
"Treml1",74.0792717138663,-3.38730606724908,1.02011707542424,-3.32050717398333,0.000898540497647523,0.0104070334975408
