"seqnames","start","end","width","strand","source","type","score","phase","gene_id","gene_version","gene_name","gene_source","gene_biotype","havana_gene","havana_gene_version","transcript_id","transcript_version","transcript_name","transcript_source","transcript_biotype","havana_transcript","havana_transcript_version","tag","transcript_support_level","exon_number","exon_id","exon_version","ccds_id","protein_id","protein_version"
"10",100707535,100708810,1276,"-","havana","exon",NA,NA,"ENSMUSG00000112104","1","Gm35722","havana","lincRNA","OTTMUSG00000065561","1","ENSMUST00000218270","1","Gm35722-201","havana","lincRNA","OTTMUST00000159655","1","basic","1","3","ENSMUSE00001411692","1",NA,NA,NA
"10",9976690,10207981,231292,"+","havana","transcript",NA,NA,"ENSMUSG00000101621","2","Gm28905","havana","lincRNA","OTTMUSG00000046527","2","ENSMUST00000219328","1","Gm28905-202","havana","lincRNA","OTTMUST00000157642","1","basic","5",NA,NA,NA,NA,NA,NA
"10",10335703,10335937,235,"-","ensembl","three_prime_utr",NA,NA,"ENSMUSG00000050994","20","Adgb","ensembl_havana","protein_coding","OTTMUSG00000023572","8","ENSMUST00000179956","7","Adgb-205","ensembl","protein_coding",NA,NA,"basic","5",NA,NA,NA,NA,NA,NA
"10",103367843,103419377,51535,"+","ensembl_havana","transcript",NA,NA,"ENSMUSG00000019894","14","Slc6a15","ensembl_havana","protein_coding","OTTMUSG00000065118","1","ENSMUST00000074204","11","Slc6a15-201","ensembl_havana","protein_coding","OTTMUST00000158694","1","basic","1",NA,NA,NA,"CCDS24156",NA,NA
"10",10335938,10472314,136377,"-","havana","transcript",NA,NA,"ENSMUSG00000050994","20","Adgb","ensembl_havana","protein_coding","OTTMUSG00000023572","8","ENSMUST00000208717","1","Adgb-206","havana","protein_coding","OTTMUST00000146142","1","basic","5",NA,NA,NA,NA,NA,NA
"10",10396316,10396483,168,"-","havana","CDS",NA,0,"ENSMUSG00000050994","20","Adgb","ensembl_havana","protein_coding","OTTMUSG00000023572","8","ENSMUST00000208717","1","Adgb-206","havana","protein_coding","OTTMUST00000146142","1","basic","5","19",NA,NA,NA,"ENSMUSP00000146658","1"
"10",105187663,105190094,2432,"-","ensembl_havana","three_prime_utr",NA,NA,"ENSMUSG00000036019","8","Tmtc2","ensembl_havana","protein_coding","OTTMUSG00000025048","3","ENSMUST00000061506","8","Tmtc2-201","ensembl_havana","protein_coding","OTTMUST00000061634","2","basic","1",NA,NA,NA,"CCDS24157",NA,NA
"10",105574559,105575687,1129,"+","havana","exon",NA,NA,"ENSMUSG00000085282","8","Gm15663","havana","processed_transcript","OTTMUSG00000025047","1","ENSMUST00000145794","2","Gm15663-201","havana","lincRNA","OTTMUST00000061632","1","basic","1","1","ENSMUSE00000732083","1",NA,NA,NA
"10",105574559,105575687,1129,"+","havana","exon",NA,NA,"ENSMUSG00000085282","8","Gm15663","havana","processed_transcript","OTTMUSG00000025047","1","ENSMUST00000145794","2","Gm15663-201","havana","lincRNA","OTTMUST00000061632","1","basic","1","1","ENSMUSE00000732083","1",NA,NA,NA
"10",10558089,10558181,93,"-","havana","five_prime_utr",NA,NA,"ENSMUSG00000019832","5","Rab32","ensembl_havana","protein_coding","OTTMUSG00000027515","3","ENSMUST00000220018","2","Rab32-202","havana","nonsense_mediated_decay","OTTMUST00000157652","2",NA,"5",NA,NA,NA,NA,NA,NA
"10",105929612,105929743,132,"-","ensembl","gene",NA,NA,"ENSMUSG00000088415","1","Gm24237","ensembl","snoRNA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",107760531,107912134,151604,"-","ensembl_havana","transcript",NA,NA,"ENSMUSG00000091455","4","Otogl","ensembl_havana","protein_coding","OTTMUSG00000043359","2","ENSMUST00000165341","4","Otogl-201","ensembl_havana","protein_coding","OTTMUST00000113767","2","basic","5",NA,NA,NA,"CCDS56747",NA,NA
"10",107946645,107977834,31190,"+","havana","gene",NA,NA,"ENSMUSG00000112910","1","Gm29685","havana","lincRNA","OTTMUSG00000064083","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",107946645,107977834,31190,"+","havana","transcript",NA,NA,"ENSMUSG00000112910","1","Gm29685","havana","lincRNA","OTTMUSG00000064083","1","ENSMUST00000219670","1","Gm29685-201","havana","lincRNA","OTTMUST00000156609","1","basic","1",NA,NA,NA,NA,NA,NA
"10",108162400,108277575,115176,"+","ensembl_havana","transcript",NA,NA,"ENSMUSG00000019907","10","Ppp1r12a","ensembl_havana","protein_coding","OTTMUSG00000064091","1","ENSMUST00000070663","5","Ppp1r12a-201","ensembl_havana","protein_coding","OTTMUST00000156627","1","basic","1",NA,NA,NA,"CCDS36052",NA,NA
"10",108162400,108277575,115176,"+","ensembl_havana","transcript",NA,NA,"ENSMUSG00000019907","10","Ppp1r12a","ensembl_havana","protein_coding","OTTMUSG00000064091","1","ENSMUST00000070663","5","Ppp1r12a-201","ensembl_havana","protein_coding","OTTMUST00000156627","1","basic","1",NA,NA,NA,"CCDS36052",NA,NA
"10",110920205,110920254,50,"+","havana","five_prime_utr",NA,NA,"ENSMUSG00000020186","7","Csrp2","ensembl_havana","protein_coding","OTTMUSG00000064054","1","ENSMUST00000219502","1","Csrp2-203","havana","protein_coding","OTTMUST00000156558","1","basic","3",NA,NA,NA,NA,NA,NA
"10",111101578,111102871,1294,"-","havana","transcript",NA,NA,"ENSMUSG00000112165","1","Gm48851","havana","processed_pseudogene","OTTMUSG00000064084","1","ENSMUST00000218334","1","Gm48851-201","havana","processed_pseudogene","OTTMUST00000156610","1","basic","NA",NA,NA,NA,NA,NA,NA
"10",111101578,111102871,1294,"-","havana","gene",NA,NA,"ENSMUSG00000112165","1","Gm48851","havana","processed_pseudogene","OTTMUSG00000064084","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",111125851,111126721,871,"+","havana","gene",NA,NA,"ENSMUSG00000091086","2","Rpl6l","havana","processed_pseudogene","OTTMUSG00000064085","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",111164802,111293754,128953,"+","ensembl_havana","transcript",NA,NA,"ENSMUSG00000020189","15","Osbpl8","ensembl_havana","protein_coding","OTTMUSG00000064087","2","ENSMUST00000095310","2","Osbpl8-201","ensembl_havana","protein_coding","OTTMUST00000156615","1","basic","1",NA,NA,NA,"CCDS24166",NA,NA
"10",111164802,111293754,128953,"+","ensembl_havana","transcript",NA,NA,"ENSMUSG00000020189","15","Osbpl8","ensembl_havana","protein_coding","OTTMUSG00000064087","2","ENSMUST00000095310","2","Osbpl8-201","ensembl_havana","protein_coding","OTTMUST00000156615","1","basic","1",NA,NA,NA,"CCDS24166",NA,NA
"10",111164802,111293754,128953,"+","ensembl_havana","transcript",NA,NA,"ENSMUSG00000020189","15","Osbpl8","ensembl_havana","protein_coding","OTTMUSG00000064087","2","ENSMUST00000095310","2","Osbpl8-201","ensembl_havana","protein_coding","OTTMUST00000156615","1","basic","1",NA,NA,NA,"CCDS24166",NA,NA
"10",111508060,111508645,586,"+","ensembl_havana","three_prime_utr",NA,NA,"ENSMUSG00000020205","8","Phlda1","ensembl_havana","protein_coding","OTTMUSG00000035222","2","ENSMUST00000164773","1","Phlda1-201","ensembl_havana","protein_coding","OTTMUST00000089761","1","basic","1",NA,NA,NA,"CCDS24167",NA,NA
"10",111586719,111587481,763,"-","havana","exon",NA,NA,"ENSMUSG00000097082","1","4933440J02Rik","havana","lincRNA","OTTMUSG00000064174","1","ENSMUST00000181547","1","4933440J02Rik-201","havana","lincRNA","OTTMUST00000156751","1","basic","1","4","ENSMUSE00001164741","1",NA,NA,NA
"10",111725184,111843048,117865,"+","havana","gene",NA,NA,"ENSMUSG00000112430","1","Gm30624","havana","lincRNA","OTTMUSG00000064177","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",111725184,111843048,117865,"+","havana","transcript",NA,NA,"ENSMUSG00000112430","1","Gm30624","havana","lincRNA","OTTMUSG00000064177","1","ENSMUST00000220039","1","Gm30624-201","havana","lincRNA","OTTMUST00000156754","1","basic","3",NA,NA,NA,NA,NA,NA
"10",111993461,112002631,9171,"-","havana","transcript",NA,NA,"ENSMUSG00000056888","11","Glipr1","ensembl_havana","protein_coding","OTTMUSG00000027780","3","ENSMUST00000159550","1","Glipr1-202","havana","processed_transcript","OTTMUST00000068755","1",NA,"2",NA,NA,NA,NA,NA,NA
"10",111993461,112002631,9171,"-","havana","transcript",NA,NA,"ENSMUSG00000056888","11","Glipr1","ensembl_havana","protein_coding","OTTMUSG00000027780","3","ENSMUST00000159550","1","Glipr1-202","havana","processed_transcript","OTTMUST00000068755","1",NA,"2",NA,NA,NA,NA,NA,NA
"10",111993461,112002631,9171,"-","havana","transcript",NA,NA,"ENSMUSG00000056888","11","Glipr1","ensembl_havana","protein_coding","OTTMUSG00000027780","3","ENSMUST00000159550","1","Glipr1-202","havana","processed_transcript","OTTMUST00000068755","1",NA,"2",NA,NA,NA,NA,NA,NA
"10",112002500,112002631,132,"-","havana","exon",NA,NA,"ENSMUSG00000056888","11","Glipr1","ensembl_havana","protein_coding","OTTMUSG00000027780","3","ENSMUST00000159550","1","Glipr1-202","havana","processed_transcript","OTTMUST00000068755","1",NA,"2","1","ENSMUSE00000855664","1",NA,NA,NA
"10",112060189,112060309,121,"+","ensembl_havana","five_prime_utr",NA,NA,"ENSMUSG00000020213","6","Glipr1l1","ensembl_havana","protein_coding","OTTMUSG00000064204","1","ENSMUST00000073617","4","Glipr1l1-201","ensembl_havana","protein_coding","OTTMUST00000156807","1","basic","1",NA,NA,NA,"CCDS48691",NA,NA
"10",112141754,112141813,60,"-","havana","three_prime_utr",NA,NA,"ENSMUSG00000112611","1","Glipr1l3","havana","protein_coding","OTTMUSG00000064206","1","ENSMUST00000220085","1","Glipr1l3-201","havana","protein_coding","OTTMUST00000156809","1","basic","5",NA,NA,NA,NA,NA,NA
"10",112160207,112160327,121,"-","havana","five_prime_utr",NA,NA,"ENSMUSG00000112611","1","Glipr1l3","havana","protein_coding","OTTMUSG00000064206","1","ENSMUST00000220085","1","Glipr1l3-201","havana","protein_coding","OTTMUST00000156809","1","basic","5",NA,NA,NA,NA,NA,NA
"10",11343453,11343768,316,"+","havana","exon",NA,NA,"ENSMUSG00000055493","4","Epm2a","ensembl_havana","protein_coding","OTTMUSG00000031733","2","ENSMUST00000161438","1","Epm2a-202","havana","processed_transcript","OTTMUST00000081636","1",NA,"3","1","ENSMUSE00000864780","1",NA,NA,NA
"10",115184890,115185022,133,"-","ensembl_havana","five_prime_utr",NA,NA,"ENSMUSG00000006764","8","Tph2","ensembl_havana","protein_coding","OTTMUSG00000020904","1","ENSMUST00000006949","8","Tph2-201","ensembl_havana","protein_coding","OTTMUST00000049410","1","basic","1",NA,NA,NA,"CCDS36061",NA,NA
"10",115197872,115251467,53596,"-","ensembl_havana","gene",NA,NA,"ENSMUSG00000020130","9","Tbc1d15","ensembl_havana","protein_coding","OTTMUSG00000064159","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",115315646,115316374,729,"+","havana","exon",NA,NA,"ENSMUSG00000112301","1","Gm10752","havana","TEC","OTTMUSG00000064166","1","ENSMUST00000218348","1","Gm10752-201","havana","TEC","OTTMUST00000156728","1","basic","NA","1","ENSMUSE00001408039","1",NA,NA,NA
"10",116504040,116581465,77426,"-","havana","transcript",NA,NA,"ENSMUSG00000020166","15","Cnot2","ensembl_havana","protein_coding","OTTMUSG00000035217","4","ENSMUST00000169507","7","Cnot2-211","havana","nonsense_mediated_decay","OTTMUST00000089743","1",NA,"5",NA,NA,NA,NA,NA,NA
"10",117177303,117181112,3810,"+","havana","gene",NA,NA,"ENSMUSG00000112753","1","4930423D24Rik","havana","lincRNA","OTTMUSG00000064281","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",117390022,117398587,8566,"+","havana","transcript",NA,NA,"ENSMUSG00000112728","1","Gm48903","havana","lincRNA","OTTMUSG00000064310","1","ENSMUST00000219525","1","Gm48903-201","havana","lincRNA","OTTMUST00000156989","1","basic","5",NA,NA,NA,NA,NA,NA
"10",117408872,117413904,5033,"-","havana","gene",NA,NA,"ENSMUSG00000112796","1","Gm40770","havana","lincRNA","OTTMUSG00000064311","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",117429618,117430116,499,"+","havana","exon",NA,NA,"ENSMUSG00000095826","1","Gm9002","havana","processed_pseudogene","OTTMUSG00000042364","1","ENSMUST00000178437","1","Gm9002-201","havana","processed_pseudogene","OTTMUST00000111650","1","basic","NA","1","ENSMUSE00001033202","1",NA,NA,NA
"10",117429618,117430116,499,"+","havana","exon",NA,NA,"ENSMUSG00000095826","1","Gm9002","havana","processed_pseudogene","OTTMUSG00000042364","1","ENSMUST00000178437","1","Gm9002-201","havana","processed_pseudogene","OTTMUST00000111650","1","basic","NA","1","ENSMUSE00001033202","1",NA,NA,NA
"10",117446015,117447493,1479,"-","havana","gene",NA,NA,"ENSMUSG00000112344","1","Gm32141","havana","lincRNA","OTTMUSG00000064312","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",117733679,117736046,2368,"-","ensembl_havana","three_prime_utr",NA,NA,"ENSMUSG00000060181","6","Slc35e3","ensembl_havana","protein_coding","OTTMUSG00000064319","2","ENSMUST00000079041","6","Slc35e3-201","ensembl_havana","protein_coding","OTTMUST00000156999","2","basic","1",NA,NA,NA,"CCDS24195",NA,NA
"10",117813871,117846035,32165,"-","ensembl_havana","gene",NA,NA,"ENSMUSG00000052681","8","Rap1b","ensembl_havana","protein_coding","OTTMUSG00000064322","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",117863681,117865549,1869,"-","havana","exon",NA,NA,"ENSMUSG00000112711","1","Gm32552","havana","lincRNA","OTTMUSG00000064344","1","ENSMUST00000217849","1","Gm32552-201","havana","lincRNA","OTTMUST00000157047","1","basic","5","4","ENSMUSE00001411335","1",NA,NA,NA
"10",118004938,118005287,350,"+","havana","exon",NA,NA,"ENSMUSG00000102896","1","Gm37852","havana","TEC","OTTMUSG00000047803","1","ENSMUST00000193027","1","Gm37852-201","havana","TEC","OTTMUST00000123053","1","basic","NA","1","ENSMUSE00001342156","1",NA,NA,NA
"10",118112517,118124094,11578,"+","havana","gene",NA,NA,"ENSMUSG00000112470","1","5330439M10Rik","havana","lincRNA","OTTMUSG00000064360","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",118112517,118124094,11578,"+","havana","gene",NA,NA,"ENSMUSG00000112470","1","5330439M10Rik","havana","lincRNA","OTTMUSG00000064360","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",118351697,118354105,2409,"-","havana","gene",NA,NA,"ENSMUSG00000112919","1","Gm9049","havana","protein_coding","OTTMUSG00000064376","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",118860738,118870209,9472,"-","havana","transcript",NA,NA,"ENSMUSG00000028630","9","Dyrk2","ensembl_havana","protein_coding","OTTMUSG00000064386","1","ENSMUST00000218477","1","Dyrk2-202","havana","processed_transcript","OTTMUST00000157120","1","mRNA_end_NF","2",NA,NA,NA,NA,NA,NA
"10",119028290,119050499,22210,"-","havana","gene",NA,NA,"ENSMUSG00000112778","1","Gm33677","havana","lincRNA","OTTMUSG00000064391","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",120083608,120112987,29380,"-","ensembl_havana","gene",NA,NA,"ENSMUSG00000020228","11","Helb","ensembl_havana","protein_coding","OTTMUSG00000033558","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",120632672,120699203,66532,"-","havana","transcript",NA,NA,"ENSMUSG00000112716","1","4930471E19Rik","havana","lincRNA","OTTMUSG00000064323","1","ENSMUST00000219150","1","4930471E19Rik-202","havana","lincRNA","OTTMUST00000157008","1","basic","3",NA,NA,NA,NA,NA,NA
"10",120781096,120899101,118006,"-","ensembl_havana","transcript",NA,NA,"ENSMUSG00000051236","13","Msrb3","ensembl_havana","protein_coding","OTTMUSG00000027726","3","ENSMUST00000092143","11","Msrb3-201","ensembl_havana","protein_coding","OTTMUST00000068610","2","basic","1",NA,NA,NA,"CCDS24208",NA,NA
"10",121263820,121266824,3005,"-","ensembl_havana","three_prime_utr",NA,NA,"ENSMUSG00000052302","6","Tbc1d30","ensembl_havana","protein_coding","OTTMUSG00000064334","2","ENSMUST00000064107","6","Tbc1d30-201","ensembl_havana","protein_coding","OTTMUST00000157022","1","basic","1",NA,NA,NA,"CCDS48704",NA,NA
"10",121266609,121294648,28040,"-","havana","transcript",NA,NA,"ENSMUSG00000052302","6","Tbc1d30","ensembl_havana","protein_coding","OTTMUSG00000064334","2","ENSMUST00000218111","1","Tbc1d30-202","havana","nonsense_mediated_decay","OTTMUST00000157166","1","mRNA_start_NF","1",NA,NA,NA,NA,NA,NA
"10",121365176,121376691,11516,"+","havana","transcript",NA,NA,"ENSMUSG00000034707","7","Gns","ensembl_havana","protein_coding","OTTMUSG00000064421","1","ENSMUST00000219851","1","Gns-209","havana","nonsense_mediated_decay","OTTMUST00000157176","1",NA,"5",NA,NA,NA,NA,NA,NA
"10",121374343,121381277,6935,"+","havana","transcript",NA,NA,"ENSMUSG00000034707","7","Gns","ensembl_havana","protein_coding","OTTMUSG00000064421","1","ENSMUST00000219505","1","Gns-205","havana","nonsense_mediated_decay","OTTMUST00000157177","1","mRNA_start_NF","3",NA,NA,NA,NA,NA,NA
"10",121505633,121505976,344,"+","havana","exon",NA,NA,"ENSMUSG00000111926","1","Gm46204","havana","lincRNA","OTTMUSG00000064429","1","ENSMUST00000219800","1","Gm46204-201","havana","lincRNA","OTTMUST00000157194","1","basic","3","2","ENSMUSE00001413012","1",NA,NA,NA
"10",121589619,121600813,11195,"-","havana","transcript",NA,NA,"ENSMUSG00000034667","8","Xpot","ensembl_havana","protein_coding","OTTMUSG00000064433","1","ENSMUST00000219334","1","Xpot-205","havana","protein_coding","OTTMUST00000157206","1","mRNA_start_NF","3",NA,NA,NA,NA,NA,NA
